,State,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07
17,Kentucky,0,0,527,4695,9693,15622,30150,48391,68838,107214,179041,265262,362890,404448,427015,444127,458275,465167,482599,577051,691344,743156,785926,856145,1160558,1277352,1312407,1325726,1354787,1398705,1451859,1536444,1576835,1614528,1635010,1662581,1692590,1713220,1713220,1713220,1713220,1713220,1713220
18,Louisiana,0,0,5235,27998,39899,58095,116280,148169,166013,182254,232414,315264,400626,430133,444977,458581,470685,481467,541679,679796,740533,758471,770894,828695,1170212,1225637,1232422,1238011,1259730,1308592,1377666,1431011,1455290,1459308,1459308,1459308,1459308,1459308,1459308,1459308,1459308,1459308,1459308
19,Massachusetts,0,1,6620,62177,97005,108882,117612,128533,138442,165304,229151,341523,498145,550302,598390,646194,661489,664284,672972,710054,758334,794878,855873,1060110,1485623,1539526,1564394,1618006,1717970,1765659,1806803,1833583,1872993,1905878,1928177,1963376,1963376,2017933,2032547,2039249,2042977,2046845,2048722
20,Maryland,0,0,1660,21742,52715,67559,88346,108249,124725,145281,198370,276662,354473,382099,411344,447401,459894,462279,468548,497002,532340,561270,586143,726388,955280,1002634,1012357,1032775,1093441,1136317,1181209,1224460,1250844,1261834,1270844,1270844,1270844,1270844,1270844,1270844,1270844,1270844,1270844
21,Maine,0,0,275,1094,2320,3292,3925,4526,5390,6667,11982,24197,39534,44635,50504,61213,67787,69034,70463,75856,89989,104259,119662,146736,174225,226150,235790,245080,262902,269926,275997,282808,289726,297247,301560,306647,311802,316760,320678,322448,323369,324038,324378
22,Michigan,0,0,7613,41367,57391,70725,90559,113025,138004,197406,388941,528588,610138,645558,746352,936467,991941,1000019,1011106,1060343,1150064,1275103,1475053,1710277,2258465,2360399,2387521,2425946,2527831,2606431,2672312,2770359,2836167,2886176,2938443,2988654,3030505,3057222,3084114,3101014,3110737,3116809,3119532
23,Minnesota,0,0,629,5125,24846,36299,54460,75852,99134,150672,318763,415302,461807,484597,519531,575812,601384,605365,612701,649964,711094,787550,912370,1022212,1321753,1413576,1429550,1452547,1507168,1552840,1552840,1552840,1552840,1552840,1552840,1552840,1552840,1552840,1552840,1552840,1552840,1552840,1552840
24,Missouri,0,0,2575,8738,14151,25483,55995,91457,138069,204323,340820,453557,531033,555935,573099,590806,603192,623888,688210,760546,819733,854757,907353,1006913,1329935,1396745,1411721,1411721,1411721,1411721,1411721,1411721,1411721,1411721,1407511,1425669,1439926,1448568,1584082,1592300,1592300,1592300,1592300
25,Mississippi,0,0,935,6814,15484,27247,58743,82944,98189,120498,153270,215811,275001,294784,305149,311900,317713,321764,343505,436722,488394,504318,514171,543737,727418,789940,794225,797161,805040,831066,869466,913049,925596,933065,938189,960138,960138,960138,960138,960138,1000415,1000415,1000415
26,Montana,0,0,198,452,519,985,4009,7421,13070,32767,62198,81553,93949,99957,104556,108817,111829,113755,116366,127227,151033,175847,191012,197724,242180,266579,272555,273982,277497,285017,296599,304169,310731,314564,318105,323055,325752,328668,331907,333509,333758,333758,333758
27,North Carolina,0,0,1491,10015,27669,64668,122146,168468,210629,269459,364505,537414,757632,858560,914149,969762,1001154,1013700,1048086,1213664,1395254,1477525,1534016,1667493,2421799,2589528,2629373,2659266,2744946,2867229,2983141,3120832,3198877,3237451,3275354,3316825,3412553,3459611,3485672,3496841,3501415,3501415,3501415
28,North Dakota,0,0,126,1067,2575,3576,6467,11808,21846,43916,78656,91828,97628,99818,103106,107473,109944,110666,111644,117497,132158,148394,162294,173379,223720,238053,239391,241127,244278,248961,257331,263918,269306,272812,276274,280043,282170,285380,288603,290490,291427,291839,292065
29,Nebraska,0,0,177,4232,13882,19025,26089,34215,45342,70389,127547,165867,189391,199186,207663,217888,221122,224585,228946,245065,267079,284766,311212,342939,441456,470572,477723,479989,487599,500574,515858,530373,537466,532246,535394,535394,535394,563028,563028,563028,563028,563028,563028
30,New Hampshire,0,0,367,2146,4650,5782,6583,7254,8266,11084,20994,44028,65695,75588,84176,94886,99254,100217,101387,108191,120379,132825,161244,198667,276856,298362,302541,309982,325569,332120,338298,344381,350353,354928,357575,357575,357575,375618,375618,375618,375618,375618,375618
31,New Jersey,0,0,18696,119282,159659,171550,181660,191958,205274,237886,337304,525438,696782,789163,908816,997586,1016332,1023395,1038171,1091966,1154570,1196472,1252705,1564253,2111856,2167515,2199807,2261694,2394595,2488751,2597675,2676932,2740904,2783723,2848609,2898720,2989010,2995906,2995906,2995906,2995906,2995906,2995906
32,New Mexico,0,0,315,3411,7688,12147,20599,25349,29434,46490,97093,142863,174064,185139,191655,197733,202821,205542,210416,232614,253024,275209,314264,350043,480087,511434,517858,522329,536017,563848,591041,611310,618683,628243,646566,659056,664838,669298,675124,679679,681525,681525,681525
33,Nevada,0,0,1113,5040,8612,18456,48064,69176,79927,100701,150382,220512,273334,288597,298328,315438,323748,333712,356401,390600,421319,449322,470641,501181,656898,683766,706772,712287,728449,766704,819041,833963,839503,844220,854224,865255,871460,876294,882261,885739,888099,890071,892252
34,New York,0,0,74447,304441,370839,393496,415083,434825,458718,507612,648049,974283,1410656,1630445,1858432,2032494,2085190,2097560,2133627,2260688,2407000,2537145,2696277,3469564,4783946,4902411,4971865,5135995,5412962,5567871,5775400,5925453,6034105,6166897,6286857,6439014,6547717,6613951,6654069,6671803,6684477,6697468,6706390
35,Ohio,0,0,2197,18018,35508,51790,91159,123154,153988,215698,421063,700380,895792,967422,1017620,1070771,1101934,1111324,1127808,1220900,1413972,1539490,1690217,2016095,2580405,2653940,2672801,2697058,2763123,2848453,2948242,3049546,3143746,3185038,3227759,3307568,3347767,3382995,3421608,3438480,3449990,3449990,3449990
36,Oklahoma,0,0,566,3617,6418,13751,36476,58730,87197,122762,197743,290936,389472,424510,437859,447299,452288,457492,474845,530594,609737,644684,667512,708938,979349,1021849,1033848,1040982,1049849,1076350,1124786,1174015,1198836,1208293,1214536,1254007,1255568,1274911,1298000,1304838,1305761,1305761,1305761
37,Oregon,0,1,689,2510,4243,8656,18488,26711,33507,44921,75431,113909,141731,154885,165013,184812,200632,208637,219755,276285,330055,365054,391101,421265,633876,693929,704152,721311,765449,811693,850355,878148,894776,905882,910700,910700,910700,910700,910700,910700,910700,910700,910700
38,Pennsylvania,0,0,4839,45759,71924,86604,112044,134024,158967,208027,361478,640305,843224,931665,1024858,1151005,1202179,1212071,1224500,1300368,1429940,1564939,1736920,2036424,2661481,2757036,2781353,2820219,2907324,3006257,3080593,3185902,3254503,3304816,3360797,3416142,3469076,3512137,3543925,3556028,3561872,3565278,3565278
39,Rhode Island,0,0,485,8477,14928,16813,17949,20580,23548,29779,48325,81951,106914,118421,136419,148186,151691,152613,154339,162617,172361,179405,191884,231096,343779,338338,343338,353253,373605,383071,390371,396348,404837,411187,415894,422387,432433,437085,439837,440965,441762,442671,442671
40,South Carolina,0,0,1083,6095,11859,36297,88523,118988,147929,176612,217487,307507,443386,516823,551631,578659,593262,596840,617148,735287,857386,897152,918321,975320,1385019,1461155,1468140,1472093,1481646,1481646,1481646,1481646,1481646,1481646,1481646,1481646,1481646,1481646,1481646,1481646,1481646,1481646,1481646
41,South Dakota,0,0,100,2448,4988,6763,8753,13506,22389,45992,80464,99010,108249,112427,117761,122661,124193,124536,125207,129866,144546,153774,164867,178395,222880,235541,237109,237812,239704,244523,250286,257547,261371,264187,268797,271856,273929,277651,281008,282402,282895,283342,283342
42,Tennessee,0,0,1980,10807,22714,42219,103521,153263,194470,259131,367945,580784,736202,773983,810691,846835,862401,866964,893554,1051809,1228520,1280265,1316384,1412302,1771783,1995040,2019886,2031178,2063978,2123985,2206720,2299440,2339630,2351887,2364399,2364399,2364399,2364399,2364399,2364399,2364399,2364399,2364399
43,Texas,0,0,3266,28087,64287,159986,420946,612969,748967,900596,1278162,1756172,2360632,2644024,2783305,2883227,2943844,2988457,3125699,3590156,4046932,4222311,4316162,4572523,6219346,6549206,6669013,6739875,6858543,7095510,7432464,7722352,7870903,7924807,7988614,7988614,8153335,8153335,8456887,8496000,8508204,8508204,8508204
44,Utah,0,0,887,4676,9336,22372,40232,52115,73080,114780,195802,276732,346624,371235,385641,397323,406027,415139,432467,464422,508494,549882,595801,636992,885523,922852,927922,932253,948979,982895,1010292,1026812,1038416,1045472,1054050,1074828,1081346,1087149,1093598,1096520,1098433,1099755,1099978
45,Virginia,0,0,1247,15852,44600,62774,89880,120580,148257,181178,237813,349568,504779,576207,619366,659590,675538,680340,694384,766435,866776,924771,969116,1118518,1545650,1639942,1668891,1701458,1787756,1869231,1954716,2040106,2087360,2120280,2149512,2199302,2260796,2287440,2300168,2308007,2313364,2319341,2323255
46,Vermont,0,0,292,865,981,1208,1413,1624,1752,2179,4172,7412,11965,15199,19275,22952,24220,24410,24889,28200,33662,40191,50014,64447,104837,112364,116800,123842,132676,135668,137649,140308,142443,144346,146777,148393,150668,151477,151477,151477,151477,151477,151477
47,Washington,1,7,5662,14326,21694,32822,55801,74627,87523,107499,164975,246752,311597,339775,364489,403040,435849,451595,473076,563041,657626,725435,774465,849075,1339743,1423990,1454772,1498116,1573651,1659152,1729949,1787212,1816183,1838206,1859858,1883676,1904198,1924418,1943948,1954494,1960026,1965765,1969833
48,Wisconsin,0,1,1692,8291,20310,31702,57291,80767,130869,239409,413672,520437,590253,615316,635129,660239,673773,677622,688543,733872,810132,886084,980775,1120663,1516498,1571986,1585243,1612258,1675427,1726160,1781181,1832366,1866599,1897664,1926433,1960878,1983453,2000895,2009729,2028471,2033068,2035390,2036872
49,West Virginia,0,0,162,1124,1995,2885,6639,10239,15848,24459,47841,71215,120994,131748,141739,153128,161287,164041,167015,189690,237002,270984,294794,328162,446771,490111,497769,501204,515925,532503,555107,582666,600558,608104,614646,624721,633636,640150,646864,650100,651307,652002,652772
50,Wyoming,0,0,120,414,903,1486,2726,3840,5947,11826,33305,44409,51907,54395,56316,58069,60144,62290,65127,75136,90602,102926,111089,115638,146505,154909,156112,156550,158472,164456,170032,174828,176728,178444,180925,182581,183774,184816,185800,186556,187174,187389,187389
